path, href
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/CEMETERIES AND CREMATORIA ACT 2020/index.html, s4.html
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/CEMETERIES AND CREMATORIA ACT 2020/index.html, s7.html#death_certificate
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/CEMETERIES AND CREMATORIA ACT 2020/index.html, http://www.austlii.edu.au/au/legis/act/consol_act/caca2020222/s207.html
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/CEMETERIES AND CREMATORIA ACT 2020/index.html, http://www.austlii.edu.au/au/legis/act/consol_act/caca2020222/s207.html
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/CEMETERIES AND CREMATORIA ACT 2020/index.html, http://www.austlii.edu.au/au/legis/act/consol_act/caca2020222/s211.html
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/CEMETERIES AND CREMATORIA ACT 2020/index.html, http://www.austlii.edu.au/au/legis/act/consol_act/caca2020222/s211.html
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/CEMETERIES AND CREMATORIA ACT 2020/index.html, http://www.austlii.edu.au/au/legis/act/consol_act/caca2020222/s212.html
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/CEMETERIES AND CREMATORIA ACT 2020/index.html, http://www.austlii.edu.au/au/legis/act/consol_act/caca2020222/s212.html
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/CEMETERIES AND CREMATORIA ACT 2020/index.html, http://www.austlii.edu.au/au/legis/act/consol_act/caca2020222/s214.html
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/CEMETERIES AND CREMATORIA ACT 2020/index.html, http://www.austlii.edu.au/au/legis/act/consol_act/caca2020222/s214.html
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/ROAD TRANSPORT GENERAL ACT 1999/index.html, s5.html
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/ROAD TRANSPORT GENERAL ACT 1999/index.html, s6.html#road_transport_legislation
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/ROAD TRANSPORT GENERAL ACT 1999/index.html, s6.html#road_transport_legislation
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/ROAD TRANSPORT GENERAL ACT 1999/index.html, s6.html#road_transport_legislation
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/ROAD TRANSPORT GENERAL ACT 1999/index.html, s6.html#road_transport_legislation
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/ROAD TRANSPORT GENERAL ACT 1999/index.html, s11.html#responsible_person
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/ROAD TRANSPORT GENERAL ACT 1999/index.html, s11.html#responsible_person
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/ROAD TRANSPORT GENERAL ACT 1999/index.html, s6.html#road_transport_legislation
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/ROAD TRANSPORT GENERAL ACT 1999/index.html, s6.html#road_transport_legislation
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/ROAD TRANSPORT GENERAL ACT 1999/index.html, s11.html#responsible_person
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/ROAD TRANSPORT GENERAL ACT 1999/index.html, s11.html#responsible_person
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/ROAD TRANSPORT GENERAL ACT 1999/index.html, http://www.austlii.edu.au/au/legis/act/consol_act/rta1999242/s61.html
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/ROAD TRANSPORT GENERAL ACT 1999/index.html, http://www.austlii.edu.au/au/legis/act/consol_act/rta1999242/s61.html
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/ROAD TRANSPORT GENERAL ACT 1999/index.html, s6.html#road_transport_legislation
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/ROAD TRANSPORT GENERAL ACT 1999/index.html, s6.html#road_transport_legislation
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/HEAVY VEHICLE NATIONAL LAW ACT 2013/index.html, s109.html
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/HEAVY VEHICLE NATIONAL LAW ACT 2013/index.html, http://www.austlii.edu.au/au/legis/act/consol_act/hvnl245/s167.html
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/HEAVY VEHICLE NATIONAL LAW ACT 2013/index.html, http://www.austlii.edu.au/au/legis/act/consol_act/hvnl245/s199.html
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/HEAVY VEHICLE NATIONAL LAW ACT 2013/index.html, s253.html
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/HEAVY VEHICLE NATIONAL LAW ACT 2013/index.html, s257.html
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/HEAVY VEHICLE NATIONAL LAW ACT 2013/index.html, s464.html
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/HEAVY VEHICLE NATIONAL LAW ACT 2013/index.html, http://www.austlii.edu.au/au/legis/act/consol_act/hvnl245/s521.html
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/HEAVY VEHICLE NATIONAL LAW ACT 2013/index.html, http://www.austlii.edu.au/au/legis/act/consol_act/hvnl245/s500.html
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/HEAVY VEHICLE NATIONAL LAW ACT 2013/index.html, http://www.austlii.edu.au/au/legis/act/consol_act/hvnl245/s734.html
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/HEAVY VEHICLE NATIONAL LAW ACT 2013/index.html, http://www.austlii.edu.au/au/legis/act/consol_act/hvnl245/s734.html
